District,Year,Crop,Season,Area,total_crop_area,net_sown_area,rainfall_mm,yield
ARIYALUR,2011,Cotton(lint),Rabi,150,73854,,,2.7533333333333334
ARIYALUR,2011,Groundnut,Rabi,3028,73854,,,5.975231175693527
ARIYALUR,2011,Jowar,Rabi,15,73854,,,1.4666666666666666
ARIYALUR,2011,Maize,Rabi,357,73854,,,6.649859943977591
ARIYALUR,2011,Ragi,Rabi,3,73854,,,3.0
ARIYALUR,2011,Arhar/Tur,Whole Year,192,73854,,,0.8697916666666666
ARIYALUR,2011,Banana,Whole Year,144,73854,,,43.69444444444444
ARIYALUR,2011,Cashewnut,Whole Year,29930,73854,,,0.21610424323421315
ARIYALUR,2011,Castor seed,Whole Year,38,73854,,,0.21052631578947367
ARIYALUR,2011,Coconut,Whole Year,323,73854,,,8049.5356037151705
ARIYALUR,2011,Coriander,Whole Year,75,73854,,,0.4666666666666667
ARIYALUR,2011,Dry chillies,Whole Year,735,73854,,,0.6925170068027211
ARIYALUR,2011,Moong(Green Gram),Whole Year,6,73854,,,0.6666666666666666
ARIYALUR,2011,Onion,Whole Year,26,73854,,,12.653846153846153
ARIYALUR,2011,Small millets,Whole Year,259,73854,,,2.722007722007722
ARIYALUR,2011,Sugarcane,Whole Year,7967,73854,,,110.48813857160788
ARIYALUR,2011,Sunflower,Whole Year,228,73854,,,1.8333333333333333
ARIYALUR,2011,Tapioca,Whole Year,273,73854,,,37.663003663003664
ARIYALUR,2011,Turmeric,Whole Year,100,73854,,,5.48
ARIYALUR,2011,Urad,Whole Year,1496,73854,,,0.7774064171122995
ARIYALUR,2012,Arhar/Tur,Kharif,99,57380,,,0.7878787878787878
ARIYALUR,2012,Castor seed,Kharif,65,57380,,,0.2153846153846154
ARIYALUR,2012,Cotton(lint),Kharif,8634,57380,,,1.81422283993514
ARIYALUR,2012,Groundnut,Kharif,9108,57380,,,2.5267896354852875
ARIYALUR,2012,Horse-gram,Kharif,1,57380,,,
ARIYALUR,2012,Maize,Kharif,14743,57380,,,2.4058197110493116
ARIYALUR,2012,Moong(Green Gram),Kharif,2,57380,,,0.5
ARIYALUR,2012,Ragi,Kharif,8,57380,,,1.875
ARIYALUR,2012,Rice,Kharif,17523,57380,,,2.0768133310506194
ARIYALUR,2012,Sunflower,Kharif,754,57380,,,1.2228116710875332
ARIYALUR,2012,Urad,Kharif,1703,57380,,,0.5425719318849089
ARIYALUR,2012,Sugarcane,Whole Year,7804,57380,,,90.6694003075346
ARIYALUR,2013,Bajra,Kharif,777,89770,,,3.716859716859717
ARIYALUR,2013,Castor seed,Kharif,31,89770,,,0.3225806451612903
ARIYALUR,2013,Cotton(lint),Kharif,8815,89770,,,3.388201928530913
ARIYALUR,2013,Groundnut,Kharif,6436,89770,,,3.2889993784959604
ARIYALUR,2013,Horse-gram,Kharif,1,89770,,,
ARIYALUR,2013,Jowar,Kharif,809,89770,,,1.2410383189122374
ARIYALUR,2013,Maize,Kharif,17153,89770,,,5.320177228473153
ARIYALUR,2013,Moong(Green Gram),Kharif,23,89770,,,0.5652173913043478
ARIYALUR,2013,Onion,Kharif,36,89770,,,11.63888888888889
ARIYALUR,2013,Ragi,Kharif,38,89770,,,2.736842105263158
ARIYALUR,2013,Rice,Kharif,24437,89770,,,5.387649875189262
ARIYALUR,2013,Sunflower,Kharif,76,89770,,,1.8026315789473684
ARIYALUR,2013,Urad,Kharif,1951,89770,,,0.8400820092260379
ARIYALUR,2013,Bajra,Rabi,95,89770,,,2.0
ARIYALUR,2013,Cotton(lint),Rabi,303,89770,,,2.3993399339933994
ARIYALUR,2013,Groundnut,Rabi,3571,89770,,,6.09353122374685
ARIYALUR,2013,Horse-gram,Rabi,1,89770,,,1.0
ARIYALUR,2013,Jowar,Rabi,63,89770,,,2.1587301587301586
ARIYALUR,2013,Maize,Rabi,615,89770,,,5.001626016260163
ARIYALUR,2013,Onion,Rabi,7,89770,,,8.428571428571429
ARIYALUR,2013,Ragi,Rabi,11,89770,,,4.0
ARIYALUR,2013,Sunflower,Rabi,1,89770,,,1.0
ARIYALUR,2013,Urad,Rabi,1485,89770,,,0.8531986531986532
ARIYALUR,2013,Arhar/Tur,Whole Year,236,89770,,,0.9661016949152542
ARIYALUR,2013,Banana,Whole Year,131,89770,,,41.534351145038165
ARIYALUR,2013,Cashewnut,Whole Year,30152,89770,,,0.21889095250729637
ARIYALUR,2013,Coconut,Whole Year,331,89770,,,5135.95166163142
ARIYALUR,2013,Coriander,Whole Year,14,89770,,,0.35714285714285715
ARIYALUR,2013,Dry chillies,Whole Year,212,89770,,,0.27358490566037735
ARIYALUR,2013,Small millets,Whole Year,187,89770,,,2.625668449197861
ARIYALUR,2013,Sugarcane,Whole Year,9875,89770,,,112.63837974683544
ARIYALUR,2013,Tapioca,Whole Year,189,89770,,,29.92063492063492
ARIYALUR,2013,Turmeric,Whole Year,61,89770,,,3.6721311475409837
COIMBATORE,1997,Banana,Kharif,5619,862094,,,32.69976864210714
COIMBATORE,1997,Horse-gram,Kharif,6849,862094,,,0.44386041757920863
COIMBATORE,1997,Onion,Kharif,2813,862094,,,13.220049768929968
COIMBATORE,1997,Sesamum,Kharif,1598,862094,,,0.36295369211514394
COIMBATORE,1997,Small millets,Kharif,63,862094,,,0.7936507936507936
COIMBATORE,1997,Tobacco,Kharif,936,862094,,,1.7307692307692308
COIMBATORE,1997,Arhar/Tur,Whole Year,1393,862094,,,0.5025125628140703
COIMBATORE,1997,Bajra,Whole Year,518,862094,,,1.7567567567567568
COIMBATORE,1997,Banana,Whole Year,7269,862094,,,39.33553446141147
COIMBATORE,1997,Black pepper,Whole Year,131,862094,,,0.22900763358778625
COIMBATORE,1997,Cardamom,Whole Year,834,862094,,,0.08393285371702638
COIMBATORE,1997,Cashewnut,Whole Year,63,862094,,,0.6349206349206349
COIMBATORE,1997,Castor seed,Whole Year,199,862094,,,0.35175879396984927
COIMBATORE,1997,Coriander,Whole Year,709,862094,,,0.18335684062059238
COIMBATORE,1997,Cotton(lint),Whole Year,16858,862094,,,1.815755131095029
COIMBATORE,1997,Dry chillies,Whole Year,2350,862094,,,0.6085106382978723
COIMBATORE,1997,Gram,Whole Year,4481,862094,,,0.740906047757197
COIMBATORE,1997,Groundnut,Whole Year,33861,862094,,,1.2743273973007294
COIMBATORE,1997,Jowar,Whole Year,89773,862094,,,0.7256079222037807
COIMBATORE,1997,Maize,Whole Year,15763,862094,,,1.1241514940049484
COIMBATORE,1997,Moong(Green Gram),Whole Year,4526,862094,,,0.32699955810870523
COIMBATORE,1997,Onion,Whole Year,1680,862094,,,12.476190476190476
COIMBATORE,1997,Pulses total,Whole Year,34941,862094,,,0.37520391517128876
COIMBATORE,1997,Ragi,Whole Year,401,862094,,,1.9950124688279303
COIMBATORE,1997,Rice,Whole Year,18703,862094,,,3.0834625461155962
COIMBATORE,1997,Sugarcane,Whole Year,10756,862094,,,1140.9445890665675
COIMBATORE,1997,Sunflower,Whole Year,457,862094,,,1.0065645514223194
COIMBATORE,1997,Tapioca,Whole Year,1320,862094,,,37.50757575757576
COIMBATORE,1997,Tobacco,Whole Year,844,862094,,,1.481042654028436
COIMBATORE,1997,Total foodgrain,Whole Year,160230,862094,,,0.9700430630967983
COIMBATORE,1997,Turmeric,Whole Year,2024,862094,,,8.379446640316205
COIMBATORE,1997,Urad,Whole Year,3085,862094,,,0.46677471636953
COIMBATORE,1998,Arhar/Tur,Kharif,2312,308002,,,0.8641868512110726
COIMBATORE,1998,Bajra,Kharif,244,308002,,,2.0942622950819674
COIMBATORE,1998,Cotton(lint),Kharif,15370,308002,,,2.1011060507482107
COIMBATORE,1998,Groundnut,Kharif,39937,308002,,,1.733930941232441
COIMBATORE,1998,Horse-gram,Kharif,7231,308002,,,0.4190291799197898
COIMBATORE,1998,Jowar,Kharif,88370,308002,,,0.7295462260948286
COIMBATORE,1998,Maize,Kharif,18828,308002,,,1.124017420862545
COIMBATORE,1998,Moong(Green Gram),Kharif,7116,308002,,,0.547920179876335
COIMBATORE,1998,Pulses total,Kharif,43420,308002,,,0.4677567941040995
COIMBATORE,1998,Ragi,Kharif,510,308002,,,2.492156862745098
COIMBATORE,1998,Rice,Kharif,15034,308002,,,3.4305574032193693
COIMBATORE,1998,Sesamum,Kharif,1106,308002,,,0.38245931283905965
COIMBATORE,1998,Small millets,Kharif,4600,308002,,,0.7391304347826086
COIMBATORE,1998,Sunflower,Kharif,191,308002,,,1.031413612565445
COIMBATORE,1998,Total foodgrain,Kharif,167323,308002,,,0.09539632925539226
COIMBATORE,1998,Urad,Kharif,10191,308002,,,0.4889608478068884
COIMBATORE,1998,Gram,Rabi,4164,308002,,,0.9560518731988472
COIMBATORE,1998,Wheat,Rabi,20,308002,,,0.05
COIMBATORE,1998,Banana,Whole Year,6189,308002,,,39.336080142187754
COIMBATORE,1998,Black pepper,Whole Year,130,308002,,,0.2
COIMBATORE,1998,Cardamom,Whole Year,833,308002,,,0.08163265306122448
COIMBATORE,1998,Castor seed,Whole Year,174,308002,,,0.3448275862068966
COIMBATORE,1998,Coriander,Whole Year,822,308002,,,0.18248175182481752
COIMBATORE,1998,Dry chillies,Whole Year,1980,308002,,,0.6070707070707071
COIMBATORE,1998,Onion,Whole Year,3093,308002,,,12.476883284836727
COIMBATORE,1998,Sannhamp,Whole Year,1,308002,,,1.0
COIMBATORE,1998,Sugarcane,Whole Year,13193,308002,,,111.23019783218373
COIMBATORE,1998,Tapioca,Whole Year,1526,308002,,,37.142201834862384
COIMBATORE,1998,Tobacco,Whole Year,461,308002,,,1.490238611713666
COIMBATORE,1998,Turmeric,Whole Year,2652,308002,,,8.378959276018099
COIMBATORE,1999,Arhar/Tur,Kharif,961,331908,,,0.6607700312174818
COIMBATORE,1999,Bajra,Kharif,670,331908,,,2.053731343283582
COIMBATORE,1999,Castor seed,Kharif,3771,331908,,,0.3619729514717582
COIMBATORE,1999,Cotton(lint),Kharif,7627,331908,,,1.6079716795594599
COIMBATORE,1999,Groundnut,Kharif,36123,331908,,,1.525620795614982
COIMBATORE,1999,Horse-gram,Kharif,7884,331908,,,0.3786149162861492
COIMBATORE,1999,Jowar,Kharif,87539,331908,,,0.5023817955425581
COIMBATORE,1999,Korra,Kharif,2,331908,,,0.5
COIMBATORE,1999,Maize,Kharif,19841,331908,,,1.125346504712464
COIMBATORE,1999,Moong(Green Gram),Kharif,6400,331908,,,0.485
COIMBATORE,1999,Ragi,Kharif,419,331908,,,1.071599045346062
COIMBATORE,1999,Rice,Kharif,16875,331908,,,3.58482962962963
COIMBATORE,1999,Sesamum,Kharif,1100,331908,,,0.47363636363636363
COIMBATORE,1999,Sunflower,Kharif,978,331908,,,1.0061349693251533
COIMBATORE,1999,Urad,Kharif,5178,331908,,,0.5179606025492468
COIMBATORE,1999,Gram,Rabi,5030,331908,,,0.7401590457256462
COIMBATORE,1999,Samai,Rabi,134,331908,,,0.5447761194029851
COIMBATORE,1999,Wheat,Rabi,9,331908,,,0.4444444444444444
COIMBATORE,1999,Banana,Whole Year,5619,331908,,,32.69976864210714
COIMBATORE,1999,Cashewnut,Whole Year,36,331908,,,0.3055555555555556
COIMBATORE,1999,Coriander,Whole Year,324,331908,,,0.18209876543209877
COIMBATORE,1999,Dry chillies,Whole Year,1418,331908,,,0.8709449929478138
COIMBATORE,1999,Guar seed,Whole Year,11939,331908,,,9.914900745456068
COIMBATORE,1999,Onion,Whole Year,2813,331908,,,13.220049768929968
COIMBATORE,1999,Sugarcane,Whole Year,11939,331908,,,100.0952341067091
COIMBATORE,1999,Sweet potato,Whole Year,2,331908,,,12.0
COIMBATORE,1999,Tapioca,Whole Year,834,331908,,,35.485611510791365
COIMBATORE,1999,Tobacco,Whole Year,936,331908,,,1.7307692307692308
COIMBATORE,1999,Turmeric,Whole Year,3023,331908,,,6.399603043334436
COIMBATORE,2000,Arhar/Tur,Kharif,632,312016,,,0.6613924050632911
COIMBATORE,2000,Bajra,Kharif,307,312016,,,1.5602605863192183
COIMBATORE,2000,Castor seed,Kharif,242,312016,,,0.36363636363636365
COIMBATORE,2000,Cotton(lint),Kharif,6674,312016,,,1.6462391369493556
COIMBATORE,2000,Groundnut,Kharif,20169,312016,,,1.3603054192076949
COIMBATORE,2000,Horse-gram,Kharif,4859,312016,,,0.37229882691911914
COIMBATORE,2000,Jowar,Kharif,74450,312016,,,0.4788448623237072
COIMBATORE,2000,Maize,Kharif,18075,312016,,,1.1253665283540801
COIMBATORE,2000,Moong(Green Gram),Kharif,5292,312016,,,0.45294784580498865
COIMBATORE,2000,Other Cereals & Millets,Kharif,10,312016,,,0.6
COIMBATORE,2000,Other Kharif pulses,Kharif,12066,312016,,,0.21398972318912646
COIMBATORE,2000,Ragi,Kharif,295,312016,,,1.0338983050847457
COIMBATORE,2000,Rice,Kharif,12170,312016,,,3.867378800328677
COIMBATORE,2000,Sesamum,Kharif,800,312016,,,0.4775
COIMBATORE,2000,Sunflower,Kharif,145,312016,,,1.0551724137931036
COIMBATORE,2000,Urad,Kharif,3716,312016,,,0.5180301399354145
COIMBATORE,2000,Gram,Rabi,2297,312016,,,0.740095777100566
COIMBATORE,2000,Rapeseed &Mustard,Rabi,6,312016,,,0.16666666666666666
COIMBATORE,2000,Wheat,Rabi,8,312016,,,0.5
COIMBATORE,2000,Banana,Whole Year,7050,312016,,,32.69971631205674
COIMBATORE,2000,Cardamom,Whole Year,6,312016,,,
COIMBATORE,2000,Cashewnut,Whole Year,43,312016,,,0.3953488372093023
COIMBATORE,2000,Coriander,Whole Year,294,312016,,,0.18027210884353742
COIMBATORE,2000,Dry chillies,Whole Year,1716,312016,,,0.9632867132867133
COIMBATORE,2000,Onion,Whole Year,4450,312016,,,13.22
COIMBATORE,2000,Sannhamp,Whole Year,5,312016,,,0.8
COIMBATORE,2000,Sugarcane,Whole Year,11167,312016,,,100.09528073788842
COIMBATORE,2000,Tapioca,Whole Year,1236,312016,,,35.48543689320388
COIMBATORE,2000,Tobacco,Whole Year,601,312016,,,1.7304492512479202
COIMBATORE,2000,Turmeric,Whole Year,4178,312016,,,6.237912876974629
COIMBATORE,2001,Arhar/Tur,Kharif,563,310268,,,0.6571936056838366
COIMBATORE,2001,Bajra,Kharif,236,310268,,,1.9067796610169492
COIMBATORE,2001,Cotton(lint),Kharif,10220,310268,,,1.433463796477495
COIMBATORE,2001,Groundnut,Kharif,19152,310268,,,1.5194235588972431
COIMBATORE,2001,Jowar,Kharif,75752,310268,,,0.39180483683599115
COIMBATORE,2001,Moong(Green Gram),Kharif,4420,310268,,,0.2850678733031674
COIMBATORE,2001,Ragi,Kharif,233,310268,,,1.8025751072961373
COIMBATORE,2001,Rice,Kharif,10548,310268,,,3.5267349260523324
COIMBATORE,2001,Sesamum,Kharif,914,310268,,,0.5032822757111597
COIMBATORE,2001,Sunflower,Kharif,45,310268,,,1.3333333333333333
COIMBATORE,2001,Urad,Kharif,1839,310268,,,0.3915171288743883
COIMBATORE,2001,Sugarcane,Whole Year,13438,310268,,,111.38562286054473
COIMBATORE,2002,Arhar/Tur,Kharif,468,290706,,,0.5448717948717948
COIMBATORE,2002,Bajra,Kharif,624,290706,,,1.0961538461538463
COIMBATORE,2002,Castor seed,Kharif,168,290706,,,0.36904761904761907
COIMBATORE,2002,Cotton(lint),Kharif,5103,290706,,,0.5925925925925926
COIMBATORE,2002,Groundnut,Kharif,13131,290706,,,0.9425024750590206
COIMBATORE,2002,Horse-gram,Kharif,5794,290706,,,0.20210562651018293
COIMBATORE,2002,Jowar,Kharif,80595,290706,,,0.28835535703207393
COIMBATORE,2002,Korra,Kharif,1,290706,,,1.0
COIMBATORE,2002,Maize,Kharif,18242,290706,,,1.1248766582611556
COIMBATORE,2002,Moong(Green Gram),Kharif,4238,290706,,,0.16493629070316188
COIMBATORE,2002,Other Kharif pulses,Kharif,12702,290706,,,0.21421823334907888
COIMBATORE,2002,Ragi,Kharif,198,290706,,,1.3333333333333333
COIMBATORE,2002,Rice,Kharif,6577,290706,,,3.3681009578835335
COIMBATORE,2002,Samai,Kharif,24,290706,,,0.7083333333333334
COIMBATORE,2002,Sesamum,Kharif,525,290706,,,0.33714285714285713
COIMBATORE,2002,Sunflower,Kharif,10,290706,,,1.2
COIMBATORE,2002,Urad,Kharif,2083,290706,,,0.39894383101296205
COIMBATORE,2002,Varagu,Kharif,1,290706,,,1.0
COIMBATORE,2002,Gram,Rabi,4113,290706,,,0.7405786530513008
COIMBATORE,2002,Wheat,Rabi,6,290706,,,0.0
COIMBATORE,2002,Arecanut,Whole Year,1589,290706,,,
COIMBATORE,2002,Ash Gourd,Whole Year,67,290706,,,0.0
COIMBATORE,2002,Banana,Whole Year,6499,290706,,,32.7024157562702
COIMBATORE,2002,Beans & Mutter(Vegetable),Whole Year,2,290706,,,0.0
COIMBATORE,2002,Beet Root,Whole Year,265,290706,,,0.0
COIMBATORE,2002,Bhindi,Whole Year,392,290706,,,12.798469387755102
COIMBATORE,2002,Bitter Gourd,Whole Year,182,290706,,,0.0
COIMBATORE,2002,Bottle Gourd,Whole Year,12,290706,,,0.0
COIMBATORE,2002,Brinjal,Whole Year,621,290706,,,10.326892109500806
COIMBATORE,2002,Cashewnut,Whole Year,243,290706,,,0.3004115226337449
COIMBATORE,2002,Cauliflower,Whole Year,59,290706,,,0.0
COIMBATORE,2002,Citrus Fruit,Whole Year,56,290706,,,1.1071428571428572
COIMBATORE,2002,Coconut,Whole Year,99250,290706,,,6.347607052896725
COIMBATORE,2002,Coriander,Whole Year,680,290706,,,0.475
COIMBATORE,2002,Cucumber,Whole Year,33,290706,,,0.0
COIMBATORE,2002,Drum Stick,Whole Year,45,290706,,,0.0
COIMBATORE,2002,Dry chillies,Whole Year,1265,290706,,,0.51699604743083
COIMBATORE,2002,Garlic,Whole Year,2,290706,,,5.5
COIMBATORE,2002,Grapes,Whole Year,368,290706,,,18.429347826086957
COIMBATORE,2002,Jack Fruit,Whole Year,13,290706,,,11.307692307692308
COIMBATORE,2002,Lab-Lab,Whole Year,119,290706,,,0.0
COIMBATORE,2002,Mango,Whole Year,3848,290706,,,7.501039501039501
COIMBATORE,2002,Onion,Whole Year,1970,290706,,,13.323857868020305
COIMBATORE,2002,Orange,Whole Year,18,290706,,,1.5555555555555556
COIMBATORE,2002,Other Citrus Fruit,Whole Year,162,290706,,,0.0
COIMBATORE,2002,Other Fresh Fruits,Whole Year,325,290706,,,0.0
COIMBATORE,2002,Other Vegetables,Whole Year,626,290706,,,0.0
COIMBATORE,2002,Papaya,Whole Year,149,290706,,,0.0
COIMBATORE,2002,Pome Fruit,Whole Year,172,290706,,,5.232558139534884
COIMBATORE,2002,Pome Granet,Whole Year,51,290706,,,0.0
COIMBATORE,2002,Redish,Whole Year,9,290706,,,0.0
COIMBATORE,2002,Ribed Guard,Whole Year,78,290706,,,0.0
COIMBATORE,2002,Snak Guard,Whole Year,85,290706,,,0.0
COIMBATORE,2002,Sugarcane,Whole Year,9623,290706,,,86.25792372441026
COIMBATORE,2002,Tapioca,Whole Year,518,290706,,,30.06949806949807
COIMBATORE,2002,Tomato,Whole Year,4409,290706,,,12.924926287139941
COIMBATORE,2002,Turmeric,Whole Year,1453,290706,,,5.244322092222987
COIMBATORE,2002,Water Melon,Whole Year,32,290706,,,0.0
COIMBATORE,2002,Yam,Whole Year,5,290706,,,0.0
COIMBATORE,2003,Arhar/Tur,Kharif,342,270474,,,0.6111111111111112
COIMBATORE,2003,Bajra,Kharif,500,270474,,,1.15
COIMBATORE,2003,Castor seed,Kharif,205,270474,,,0.37073170731707317
COIMBATORE,2003,Cotton(lint),Kharif,6881,270474,,,1.2498183403575063
COIMBATORE,2003,Groundnut,Kharif,16629,270474,,,0.8982500451019304
COIMBATORE,2003,Horse-gram,Kharif,5967,270474,,,0.2865761689291101
COIMBATORE,2003,Jowar,Kharif,94373,270474,,,0.3021203098343806
COIMBATORE,2003,Korra,Kharif,1,270474,,,1.0
COIMBATORE,2003,Maize,Kharif,21839,270474,,,1.1250515133476808
COIMBATORE,2003,Moong(Green Gram),Kharif,5730,270474,,,0.3031413612565445
COIMBATORE,2003,Other Kharif pulses,Kharif,15696,270474,,,0.21425840978593272
COIMBATORE,2003,Ragi,Kharif,174,270474,,,1.3793103448275863
COIMBATORE,2003,Rice,Kharif,3654,270474,,,2.9126984126984126
COIMBATORE,2003,Sesamum,Kharif,874,270474,,,0.31922196796338675
COIMBATORE,2003,Small millets,Kharif,19,270474,,,0.631578947368421
COIMBATORE,2003,Sunflower,Kharif,13,270474,,,1.3076923076923077
COIMBATORE,2003,Urad,Kharif,1715,270474,,,0.4087463556851312
COIMBATORE,2003,Gram,Rabi,4627,270474,,,0.7406526907283337
COIMBATORE,2003,Arecanut,Whole Year,1577,270474,,,
COIMBATORE,2003,Ash Gourd,Whole Year,167,270474,,,0.0
COIMBATORE,2003,Banana,Whole Year,4983,270474,,,29.275536825205698
COIMBATORE,2003,Beans & Mutter(Vegetable),Whole Year,2,270474,,,0.0
COIMBATORE,2003,Beet Root,Whole Year,290,270474,,,0.0
COIMBATORE,2003,Bhindi,Whole Year,337,270474,,,8.560830860534125
COIMBATORE,2003,Bitter Gourd,Whole Year,233,270474,,,0.0
COIMBATORE,2003,Black pepper,Whole Year,127,270474,,,0.1968503937007874
COIMBATORE,2003,Bottle Gourd,Whole Year,6,270474,,,0.0
COIMBATORE,2003,Brinjal,Whole Year,553,270474,,,11.179023508137432
COIMBATORE,2003,Cabbage,Whole Year,5,270474,,,63.6
COIMBATORE,2003,Cardamom,Whole Year,813,270474,,,0.07749077490774908
COIMBATORE,2003,Cashewnut,Whole Year,249,270474,,,0.3453815261044177
COIMBATORE,2003,Cauliflower,Whole Year,55,270474,,,0.0
COIMBATORE,2003,Citrus Fruit,Whole Year,59,270474,,,1.0508474576271187
COIMBATORE,2003,Coconut,Whole Year,99381,270474,,,6.944989484911603
COIMBATORE,2003,Coriander,Whole Year,1747,270474,,,0.5214653692043503
COIMBATORE,2003,Cucumber,Whole Year,47,270474,,,0.0
COIMBATORE,2003,Drum Stick,Whole Year,60,270474,,,0.0
COIMBATORE,2003,Dry chillies,Whole Year,1410,270474,,,0.5134751773049645
COIMBATORE,2003,Grapes,Whole Year,365,270474,,,4.487671232876712
COIMBATORE,2003,Jack Fruit,Whole Year,14,270474,,,9.642857142857142
COIMBATORE,2003,Lab-Lab,Whole Year,244,270474,,,0.0
COIMBATORE,2003,Mango,Whole Year,3793,270474,,,2.887160558924334
COIMBATORE,2003,Onion,Whole Year,1330,270474,,,14.153383458646617
COIMBATORE,2003,Orange,Whole Year,12,270474,,,2.0
COIMBATORE,2003,Other Citrus Fruit,Whole Year,213,270474,,,0.0
COIMBATORE,2003,Other Fresh Fruits,Whole Year,382,270474,,,0.0
COIMBATORE,2003,Other Vegetables,Whole Year,322,270474,,,0.0
COIMBATORE,2003,Papaya,Whole Year,218,270474,,,0.0
COIMBATORE,2003,Pome Fruit,Whole Year,156,270474,,,7.0256410256410255
COIMBATORE,2003,Pome Granet,Whole Year,38,270474,,,0.0
